t[s],[v4],[v5]
5.921073,9.920153,2.48314
5.931073,9.909985,2.58489
5.941073,9.84898,2.696815
5.951073,9.808309,2.849439
5.961073,9.747304,2.991889
5.971073,9.67613,3.164864
5.986773,9.564287,3.439588
5.996773,9.493113,3.592213
6.006773,9.442275,3.744837
6.016773,9.310096,3.897462
6.026773,9.116911,4.050087
6.036773,8.923727,4.192537
6.046773,8.74071,4.345161
6.056773,8.537357,4.477436
6.066773,8.31367,4.619886
6.076773,8.089982,4.762335
6.099639,7.63244,5.087935
6.109639,7.449422,5.250734
6.119639,7.235902,5.393184
6.129639,7.073221,5.545809
6.139639,6.849533,5.688259
6.149639,6.676684,5.861233
6.159639,6.463164,6.024033
6.169639,6.219141,6.186832
6.179639,5.96495,6.369982
6.189639,5.700592,6.553132
6.211837,5.121038,6.929606
6.221837,4.887183,7.102581
6.231837,4.663496,7.26538
6.241837,4.439808,7.44853
6.251837,4.236456,7.63168
6.261837,4.033103,7.825004
6.271837,3.850086,8.038679
6.281837,3.677237,8.242178
6.291837,3.524723,8.415153
6.301837,3.402711,8.598303
6.315586,3.260365,8.852677
6.325586,3.168856,9.035827
6.335586,3.077348,9.208801
6.345586,2.985839,9.402126
6.355586,2.914666,9.483526
6.365586,2.843492,9.534401
6.375586,2.782487,9.59545
6.385586,2.711313,9.646325
6.395586,2.660475,9.707375
6.405586,2.629972,9.768425
6.422299,2.538464,9.849825
6.432299,2.507961,9.890525
6.442299,2.477458,9.92105
6.452299,2.446955,9.92105
6.462299,2.436788,9.92105
6.472299,2.436788,9.92105
6.482299,2.436788,9.92105
6.492299,2.436788,9.92105
6.502299,2.446955,9.92105
6.512299,2.477458,9.92105
6.533882,2.59947,9.92105
6.543882,2.680811,9.92105
6.553882,2.792654,9.910875
6.563882,2.914666,9.870175
6.573882,3.057012,9.8193
6.583882,3.219694,9.75825
6.593882,3.412879,9.6972
6.603882,3.606064,9.625975
6.613882,3.809416,9.554751
6.623882,4.002601,9.483526
6.645484,4.449976,9.035827
6.655484,4.663496,8.750927
6.665484,4.846513,8.506728
6.675484,5.019362,8.293053
6.685484,5.151541,8.079379
6.695484,5.253217,7.886054
6.705484,5.354894,7.713079
6.715484,5.446402,7.540105
6.725484,5.527743,7.356955
6.735484,5.598916,7.18398
6.747966,5.659922,6.980481
6.757966,5.67009,6.838031
6.767966,5.659922,6.675231
6.777966,5.659922,6.593832
6.787966,5.639587,6.502257
6.797966,5.578581,6.390332
6.807966,5.476905,6.298757
6.817966,5.324391,6.197007
6.827966,5.131206,6.085083
6.837966,4.897351,6.003683
6.854771,4.480479,5.830708
6.864771,4.236456,5.769658
6.874771,3.992433,5.688259
